epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1.0,1.6617498279022873,0.2576443941109853,1.500360572148883,0.4365079365079365,0.33927669218378126
2.0,1.5346009647589713,0.3278595696489241,1.4162115609204327,0.3915343915343915,0.27121248019220084
3.0,1.512641080373546,0.36919592298980747,1.4399965793367415,0.42063492063492064,0.3627169204505907
4.0,1.4424136897310664,0.39637599093997733,1.3400895280182046,0.4894179894179894,0.40156162966811276
5.0,1.4248239917096304,0.4161947904869762,1.254713115238008,0.4973544973544973,0.4065432825370383
6.0,1.330274335052797,0.4784824462061155,1.2655825879838731,0.5185185185185185,0.44503669550337993
7.0,1.3144426497030637,0.4943374858437146,1.1550647758302235,0.5476190476190477,0.45386903904474907
8.0,1.27092872511085,0.5039637599093998,1.1385529217896637,0.5423280423280423,0.47276930804219613
9.0,1.2488120915800638,0.5107587768969423,1.1752603621709914,0.5291005291005291,0.4434559355051684
10.0,1.2089603490629661,0.5424688561721405,1.0788290891697798,0.58994708994709,0.5027455297975291
11.0,1.2378798660443566,0.5113250283125708,1.193458326909908,0.544973544973545,0.4555148431884497
12.0,1.2195004854574885,0.5192525481313703,1.0504640681403024,0.582010582010582,0.517118138639597
13.0,1.2996030809655195,0.48867497168742924,1.3035679115820182,0.5291005291005291,0.4518316311898349
14.0,1.3607970962168001,0.4609286523216308,1.088362456629516,0.5767195767195767,0.49652876011024355
15.0,1.2244466591799381,0.5351075877689694,1.0571528401955095,0.5952380952380952,0.5410388657091251
16.0,1.2153875946593582,0.5351075877689694,1.0509569657542719,0.6084656084656085,0.5176458639873274
17.0,1.136665210110955,0.5656851642129105,0.9789386325412326,0.6216931216931217,0.581586399818127
18.0,1.1035113249602702,0.5764439411098528,0.9651337332195706,0.656084656084656,0.6244594112447047
19.0,1.0872209157166097,0.587202718006795,0.9496852348721216,0.6455026455026455,0.6113162866912724
20.0,1.074439634485666,0.5956964892412231,0.9861279189902008,0.6296296296296297,0.6043038948575238
21.0,1.0441820877324683,0.6155152887882219,0.9296381580766546,0.656084656084656,0.6256859129909196
22.0,1.0245559035989193,0.6149490373725934,0.9460499551561143,0.671957671957672,0.6409610523134615
23.0,1.0205767205995449,0.6126840317100792,0.9071138516935722,0.6746031746031746,0.6328135033002694
24.0,0.9731158516280108,0.6392978482446207,0.9265754008419299,0.6587301587301587,0.6352881537517671
25.0,0.9780256034023764,0.6291053227633069,0.9255169276837949,0.6587301587301587,0.6241249345266562
26.0,0.9743352742319333,0.6325028312570782,0.9275005444017037,0.6507936507936508,0.6109188151776932
27.0,0.9709031021608502,0.6342015855039638,0.8288931449254354,0.6878306878306878,0.6586178996712498
28.0,0.949498125272861,0.6426953567383918,0.9263476600091924,0.6534391534391535,0.6267635769015549
29.0,0.9351471972357511,0.6579841449603624,0.9140603536020511,0.656084656084656,0.640118562447466
30.0,0.9220796691196826,0.6534541336353341,0.9157412266605115,0.6613756613756614,0.6400400432274825
