tag,init,augmentation,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
pretrained_none,pretrained,none,21,0.858361416991448,0.8381201044386423,0.819173426683783
scratch_standard,scratch,standard,30,0.7035237945360057,0.6657963446475196,0.6463510808508696
scratch_none,scratch,none,27,0.7408523975075688,0.7362924281984334,0.7103765981491318
pretrained_standard,pretrained,standard,30,0.8667156671720763,0.8511749347258486,0.8197301576128536
